fid,MC_ID,MC_name,C_ID,C_name,SCP_UID,layer,path,_count,_sum,_mean
,"1",Bosque antiguo,"1",Bosque antiguo 1,20231016_132332192992_208,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,6.000000000000000,5.000000000000000,0.833333333333333
,"1",Bosque antiguo,"2",Bosque antiguo 2,20231016_132410993627_642,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,6.000000000000000,6.000000000000000,1.000000000000000
,"1",Bosque antiguo,"3",Bosque antiguo 3,20231016_132545744690_745,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,9.000000000000000,9.000000000000000,1.000000000000000
,"1",Bosque antiguo,"4",Bosque antiguo 4,20231016_132640562607_908,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,16.000000000000000,16.000000000000000,1.000000000000000
,"1",Bosque antiguo,"5",Bosque antiguo 5,20231016_132756096783_537,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,4.000000000000000,4.000000000000000,1.000000000000000
,"1",Bosque antiguo,"6",Bosque antiguo 6,20231016_133045097788_442,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,58.000000000000000,56.000000000000000,0.965517241379310
,"1",Bosque antiguo,"7",Bosque antiguo 7,20231016_134022413534_978,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,4.000000000000000,4.000000000000000,1.000000000000000
,"1",Bosque antiguo,"8",Bosque antiguo 8,20231016_150651182367_914,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,8.000000000000000,8.000000000000000,1.000000000000000
,"1",Bosque antiguo,"9",Bosque antiguo 9,20231016_150823574495_182,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,4.000000000000000,4.000000000000000,1.000000000000000
,"1",Bosque antiguo,"10",Bosque antiguo 10,20231016_150930144141_428,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,9.000000000000000,8.000000000000000,0.888888888888889
