fid,MC_ID,MC_name,C_ID,C_name,SCP_UID,layer,path,_count,_sum,_mean
,"1",Bosque antiguo,"1",Bosque antiguo 1,20231016_132332192992_208,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,118.000000000000000,116.000000000000000,0.983050847457627
,"1",Bosque antiguo,"2",Bosque antiguo 2,20231016_132410993627_642,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,62.000000000000000,61.000000000000000,0.983870967741935
,"1",Bosque antiguo,"3",Bosque antiguo 3,20231016_132545744690_745,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,60.000000000000000,59.000000000000000,0.983333333333333
,"1",Bosque antiguo,"4",Bosque antiguo 4,20231016_132640562607_908,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,161.000000000000000,159.000000000000000,0.987577639751553
,"1",Bosque antiguo,"5",Bosque antiguo 5,20231016_132756096783_537,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,60.000000000000000,60.000000000000000,1.000000000000000
,"1",Bosque antiguo,"6",Bosque antiguo 6,20231016_133045097788_442,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,634.000000000000000,599.000000000000000,0.944794952681388
,"1",Bosque antiguo,"7",Bosque antiguo 7,20231016_134022413534_978,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,61.000000000000000,60.000000000000000,0.983606557377049
,"1",Bosque antiguo,"8",Bosque antiguo 8,20231016_150651182367_914,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,80.000000000000000,80.000000000000000,1.000000000000000
,"1",Bosque antiguo,"9",Bosque antiguo 9,20231016_150823574495_182,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,64.000000000000000,64.000000000000000,1.000000000000000
,"1",Bosque antiguo,"10",Bosque antiguo 10,20231016_150930144141_428,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,147.000000000000000,143.000000000000000,0.972789115646258
,"2",Bosque vivo,"1",Bosque vivo 1,20231016_151756864379_746,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,270.000000000000000,115.000000000000000,0.425925925925926
,"2",Bosque vivo,"2",Bosque vivo 2,20231016_151842537581_840,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,595.000000000000000,128.000000000000000,0.215126050420168
,"2",Bosque vivo,"3",Bosque vivo 3,20231016_152110390461_311,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,61.000000000000000,8.000000000000000,0.131147540983607
,"2",Bosque vivo,"4",Bosque vivo 4,20231016_152152892792_454,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,90.000000000000000,1.000000000000000,0.011111111111111
