fid,MC_ID,MC_name,C_ID,C_name,SCP_UID,_count,_sum,_mean
,"1",Bosque antiguo,"1",Bosque antiguo 1,20231026_130815590026_946,10.000000000000000,8.000000000000000,0.800000000000000
,"1",Bosque antiguo,"2",Bosque antiguo 2,20231026_130853024753_861,7.000000000000000,7.000000000000000,1.000000000000000
,"1",Bosque antiguo,"3",Bosque antiguo 3,20231026_130918465231_952,20.000000000000000,17.000000000000000,0.850000000000000
,"1",Bosque antiguo,"4",Bosque antiguo 4,20231026_130945478778_295,3.000000000000000,2.000000000000000,0.666666666666667
,"1",Bosque antiguo,"5",Bosque antiguo 5,20231026_131039062458_562,46.000000000000000,45.000000000000000,0.978260869565217
,"1",Bosque antiguo,"6",Bosque antiguo 6,20231026_131110208271_777,27.000000000000000,27.000000000000000,1.000000000000000
,"1",Bosque antiguo,"7",Bosque antiguo 7,20231026_131137194328_641,3.000000000000000,3.000000000000000,1.000000000000000
,"1",Bosque antiguo,"8",Bosque antiguo 8,20231026_131158460521_584,3.000000000000000,3.000000000000000,1.000000000000000
,"1",Bosque antiguo,"9",Bosque antiguo 9,20231026_131222178402_556,3.000000000000000,2.000000000000000,0.666666666666667
,"1",Bosque antiguo,"10",Bosque antiguo 10,20231026_131426099221_482,3.000000000000000,1.000000000000000,0.333333333333333
,"1",Bosque antiguo,"11",Bosque antiguo 11,20231026_131520826257_350,4.000000000000000,1.000000000000000,0.250000000000000
,"1",Bosque antiguo,"12",Bosque antiguo 12,20231026_131747771391_177,7.000000000000000,7.000000000000000,1.000000000000000
,"1",Bosque antiguo,"13",Bosque antiguo 13,20231026_131826174759_929,10.000000000000000,10.000000000000000,1.000000000000000
,"1",Bosque antiguo,"14",Bosque antiguo 14,20231026_132007690708_440,18.000000000000000,16.000000000000000,0.888888888888889
,"1",Bosque antiguo,"15",Bosque antiguo 15,20231026_132053674741_467,9.000000000000000,9.000000000000000,1.000000000000000
,"1",Bosque antiguo,"16",Bosque antiguo 16,20231026_132138492366_173,8.000000000000000,3.000000000000000,0.375000000000000
,"2",Suelo,"1",Suelo 1,20231026_132303214733_505,40.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"2",Suelo 2,20231026_132336865747_621,37.000000000000000,2.000000000000000,0.054054054054054
,"2",Suelo,"3",Suelo 3,20231026_132408570625_204,39.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"4",Suelo 4,20231026_132519147552_604,284.000000000000000,22.000000000000000,0.077464788732394
,"2",Suelo,"5",Suelo 5,20231026_132552199634_863,1138.000000000000000,1.000000000000000,0.000878734622144
,"2",Suelo,"6",Suelo 6,20231026_132626387280_952,1138.000000000000000,1.000000000000000,0.000878734622144
,"2",Suelo,"7",Suelo 7,20231026_132659465166_590,155.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"8",Suelo 8,20231026_132729503779_749,224.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"9",Suelo 9,20231026_132801920504_899,88.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"10",Suelo 10,20231026_132854075010_646,25.000000000000000,6.000000000000000,0.240000000000000
,"2",Suelo,"11",Suelo 11,20231026_132926217036_423,101.000000000000000,3.000000000000000,0.029702970297030
,"2",Suelo,"12",Suelo 12,20231026_133008735460_865,56.000000000000000,0.000000000000000,0.000000000000000
,"2",Suelo,"13",Suelo 13,20231026_133056039821_255,140.000000000000000,0.000000000000000,0.000000000000000
