fid,MC_ID,MC_name,C_ID,C_name,SCP_UID,layer,path,_count,_sum,_mean
,"1",Bosque antiguo,"1",Bosque antiguo 1,20231027_154357726506_772,training_input_ir_surviejo,/Volumes/UNIVERSIDAD/TESIS/CLASIFICACION/Clasificacion_SCP/SUR VIEJO/training/shape/training_input_ir.shp,13.000000000000000,7.000000000000000,0.538461538461538
,"1",Bosque antiguo,"2",Bosque antiguo 2,20231027_154440302807_457,training_input_ir_surviejo,/Volumes/UNIVERSIDAD/TESIS/CLASIFICACION/Clasificacion_SCP/SUR VIEJO/training/shape/training_input_ir.shp,4.000000000000000,3.000000000000000,0.750000000000000
,"1",Bosque antiguo,"3",Bosque antiguo 3,20231027_154541604902_421,training_input_ir_surviejo,/Volumes/UNIVERSIDAD/TESIS/CLASIFICACION/Clasificacion_SCP/SUR VIEJO/training/shape/training_input_ir.shp,6.000000000000000,4.000000000000000,0.666666666666667
,"1",Bosque antiguo,"4",Bosque antiguo 4,20231027_154601435623_104,training_input_ir_surviejo,/Volumes/UNIVERSIDAD/TESIS/CLASIFICACION/Clasificacion_SCP/SUR VIEJO/training/shape/training_input_ir.shp,8.000000000000000,6.000000000000000,0.750000000000000
,"1",Bosque antiguo,"5",Bosque antiguo 5,20231027_154642073819_261,training_input_ir_surviejo,/Volumes/UNIVERSIDAD/TESIS/CLASIFICACION/Clasificacion_SCP/SUR VIEJO/training/shape/training_input_ir.shp,5.000000000000000,5.000000000000000,1.000000000000000
,"1",Bosque antiguo,"6",Bosque antiguo 6,20231027_154715010722_851,training_input_ir_surviejo,/Volumes/UNIVERSIDAD/TESIS/CLASIFICACION/Clasificacion_SCP/SUR VIEJO/training/shape/training_input_ir.shp,9.000000000000000,9.000000000000000,1.000000000000000
,"1",Bosque antiguo,"7",Bosque antiguo 7,20231027_154832910864_588,training_input_ir_surviejo,/Volumes/UNIVERSIDAD/TESIS/CLASIFICACION/Clasificacion_SCP/SUR VIEJO/training/shape/training_input_ir.shp,11.000000000000000,8.000000000000000,0.727272727272727
,"1",Bosque antiguo,"8",Bosque antiguo 8,20231027_155042157557_886,training_input_ir_surviejo,/Volumes/UNIVERSIDAD/TESIS/CLASIFICACION/Clasificacion_SCP/SUR VIEJO/training/shape/training_input_ir.shp,4.000000000000000,3.000000000000000,0.750000000000000
,"1",Bosque antiguo,"9",Bosque antiguo 9,20231027_155109476436_545,training_input_ir_surviejo,/Volumes/UNIVERSIDAD/TESIS/CLASIFICACION/Clasificacion_SCP/SUR VIEJO/training/shape/training_input_ir.shp,11.000000000000000,6.000000000000000,0.545454545454545
,"1",Bosque antiguo,"10",Bosque antiguo 10,20231027_155156085662_558,training_input_ir_surviejo,/Volumes/UNIVERSIDAD/TESIS/CLASIFICACION/Clasificacion_SCP/SUR VIEJO/training/shape/training_input_ir.shp,7.000000000000000,6.000000000000000,0.857142857142857
