fid,MC_ID,MC_name,C_ID,C_name,SCP_UID,_count,_sum,_mean
,"1",Bosque antiguo,"1",Bosque antiguo 1,20231028_170137198218_789,11,6,0.545454545454545
,"1",Bosque antiguo,"2",Bosque antiguo 2,20231028_170243561838_780,14,11,0.785714285714286
,"1",Bosque antiguo,"3",Bosque antiguo 3,20231028_170333236574_240,6,6,1
,"1",Bosque antiguo,"4",Bosque antiguo 4,20231028_170405115755_417,10,10,1
,"1",Bosque antiguo,"5",Bosque antiguo 5,20231028_170443412482_568,5,5,1
,"1",Bosque antiguo,"6",Bosque antiguo 6,20231028_170515642600_165,4,3,0.75
,"1",Bosque antiguo,"7",Bosque antiguo 6,20231028_170525290563_348,4,3,0.75
,"1",Bosque antiguo,"8",Bosque antiguo 8,20231028_170609922824_755,6,5,0.833333333333333
,"1",Bosque antiguo,"9",Bosque antiguo 9,20231028_170653823908_655,9,5,0.555555555555556
,"1",Bosque antiguo,"10",Bosque antiguo 9,20231028_170703628870_127,9,5,0.555555555555556
,"1",Bosque antiguo,"11",Bosque antiguo 11,20231028_170740783570_889,12,11,0.916666666666667
,"1",Bosque antiguo,"12",Bosque antiguo 12,20231028_170804468564_480,10,7,0.7
,"1",Bosque antiguo,"13",Bosque antiguo 13,20231028_170846662328_263,5,5,1
,"1",Bosque antiguo,"14",Bosque antiguo 14,20231028_170927108833_332,6,6,1
,"1",Bosque antiguo,"15",Bosque antiguo 15,20231028_171004526949_685,11,9,0.818181818181818
,"1",Bosque antiguo,"16",Bosque antiguo 16,20231028_171241485766_112,3,2,0.666666666666667
,"1",Bosque antiguo,"17",Bosque antiguo 17,20231028_171323580342_133,10,7,0.7
,"1",Bosque antiguo,"18",Bosque antiguo 18,20231028_171654972048_811,19,8,0.421052631578947
,"1",Bosque antiguo,"19",Bosque antiguo 19,20231028_171805558586_334,8,2,0.25
,"1",Bosque antiguo,"20",Bosque antiguo 20,20231028_172020112626_965,3,2,0.666666666666667
,"1",Bosque antiguo,"21",Bosque antiguo 21,20231028_172105799568_230,4,4,1
,"1",Bosque antiguo,"22",Bosque antiguo 22,20231028_172228473650_415,13,10,0.769230769230769
,"1",Bosque antiguo,"23",Bosque antiguo 23,20231028_172334147054_465,7,7,1
,"2",Suelo,"1",Suelo 1,20231028_172702688331_292,1455,205,0.140893470790378
,"2",Suelo,"2",Suelo 2,20231028_172743019012_380,64,11,0.171875
,"2",Suelo,"3",Suelo 3,20231028_172852662210_425,98,34,0.346938775510204
,"2",Suelo,"4",Suelo 4,20231028_173259404618_118,60,0,0
,"2",Suelo,"5",Suelo 5,20231028_173340265044_917,74,5,0.0675675675675676
,"2",Suelo,"6",Suelo 6,20231028_173413902351_166,86,10,0.116279069767442
,"2",Suelo,"7",Suelo 7,20231028_173434095016_313,61,0,0
,"2",Suelo,"8",Suelo 8,20231028_173502678706_292,60,7,0.116666666666667
,"2",Suelo,"9",Suelo 9,20231028_173537290076_709,62,0,0
,"2",Suelo,"10",Suelo 10,20231028_173626744003_765,60,7,0.116666666666667
,"2",Suelo,"11",Suelo 11,20231028_173654328216_847,1507,0,0
,"2",Suelo,"12",Suelo 12,20231028_173741608560_886,127,0,0
,"2",Suelo,"13",Suelo 13,20231028_173833984011_545,116,0,0
,"2",Suelo,"14",Suelo 14,20231028_173910092701_823,1765,43,0.0243626062322946
,"2",Suelo,"15",Suelo 15,20231028_174118630528_113,63,17,0.26984126984127
,"2",Suelo,"16",Suelo 16,20231028_174158910853_751,76,18,0.236842105263158
,"1",Bosque antiguo,"24",Bosque antiguo 24,20231028_174357163184_320,24,5,0.208333333333333
,"2",Suelo,"17",Suelo 17,20231028_174543471497_739,23,0,0
,"2",Suelo,"18",Suelo 18,20231028_174637650484_109,124,0,0
,"2",Suelo,"19",Suelo 19,20231028_174734956473_501,69,0,0
,"2",Suelo,"20",Suelo 20,20231028_174759906466_193,60,0,0
,"2",Suelo,"21",Suelo 21,20231028_174847575690_119,14,0,0
,"2",Suelo,"22",Suelo 22,20231028_175001470392_310,62,20,0.32258064516129
,"2",Suelo,"23",Suelo 23,20231028_175134879597_940,82,0,0
,"2",Suelo,"24",Suelo 24,20231028_175223042607_131,36,5,0.138888888888889
,"2",Suelo,"25",Suelo 25,20231028_175249491953_773,40,1,0.025
,"2",Suelo,"26",Suelo 26,20231028_175349507838_371,35,6,0.171428571428571
,"2",Suelo,"27",Suelo 27,20231028_175425354674_638,19,4,0.210526315789474
,"3",Camino,"1",Camino 1,20231028_175710869598_880,71,0,0
,"3",Camino,"2",Camino 2,20231028_175734470757_381,67,0,0
,"3",Camino,"3",Camino 3,20231028_175809644616_300,64,0,0
,"3",Camino,"4",Camino 4,20231028_175830289452_907,60,1,0.0166666666666667
,"3",Camino,"5",Camino 5,20231028_175917000515_428,82,3,0.0365853658536585
,"3",Camino,"6",Camino 6,20231028_180040495094_782,69,0,0
,"3",Camino,"7",Camino 6,20231028_180051558150_527,69,0,0
,"3",Camino,"8",Camino 8,20231028_180136223089_209,24,2,0.0833333333333333
,"3",Camino,"9",Camino 9,20231028_180212670693_510,12,3,0.25
,"3",Camino,"10",Camino 10,20231028_180224936731_449,12,3,0.25
,"3",Camino,"11",Camino 11,20231028_180252960400_531,11,7,0.636363636363636
,"3",Camino,"12",Camino 12,20231028_180332938890_997,14,1,0.0714285714285714
,"3",Camino,"13",Camino 13,20231028_180457136189_948,19,2,0.105263157894737
,"2",Suelo,"28",Suelo 28,20231028_180548690790_690,60,19,0.316666666666667
,"2",Suelo,"29",Suelo 29,20231028_180625572519_768,48,5,0.104166666666667
,"2",Suelo,"30",Suelo 30,20231028_180645132211_368,22,5,0.227272727272727
,"3",Camino,"14",Camino 14,20231028_180903978467_717,4,0,0
,"3",Camino,"15",Camino 15,20231028_180937181478_566,9,0,0
,"3",Camino,"16",Camino 16,20231028_181005516072_714,5,0,0
,"3",Camino,"17",Camino 17,20231028_181023628810_183,5,0,0
,"3",Camino,"18",Camino 18,20231028_181108792658_199,24,7,0.291666666666667
,"4",Agua,"1",Agua 1,20231028_181208763794_843,111,0,0
,"4",Agua,"2",Agua 2,20231028_181241673200_950,67,0,0
,"4",Agua,"3",Agua 3,20231028_181259711880_145,73,0,0
,"4",Agua,"4",Agua 4,20231028_181315501428_109,61,0,0
,"4",Agua,"5",Agua 5,20231028_181338283484_134,109,0,0
,"4",Agua,"6",Agua 6,20231028_181357192026_807,69,0,0
,"4",Agua,"7",Agua 7,20231028_181418358059_867,62,0,0
,"4",Agua,"8",Agua 8,20231028_181439715458_385,60,0,0
,"4",Agua,"9",Agua 9,20231028_181507583968_943,60,0,0
,"4",Agua,"10",Agua 10,20231028_181550353603_592,71,0,0
,"2",Suelo,"31",Suelo 31,20231028_182211672918_214,63,24,0.380952380952381
,"2",Suelo,"32",Suelo 32,20231028_182242366178_195,65,17,0.261538461538462
,"2",Suelo,"33",Suelo 33,20231028_182314934784_971,71,15,0.211267605633803
